state,district,population,households,literacy_rate_pct,sc_population,st_population,sub_centres,phcs,chcs,sub_divisional_hospitals,district_hospitals,institutional_delivery_pct_hmis,csection_rate_pct,institutional_births_pct,skilled_birth_attendance_pct,child_immunization_pct,sanitation_pct,drinking_water_pct,electricity_pct,health_insurance_pct,women_anaemia_pct,sub_centres_per_lakh,phcs_per_lakh,chcs_per_lakh,district_hospitals_per_lakh,sc_population_pct,st_population_pct
Manipur,Ukhrul,127444.0,24721.0,70.58472740968583,225.0,119091.0,18.0,6.0,0.0,0.0,1.0,67.0,15.1,44.6,54.5,39.4,81.4,50.9,95.0,17.0,21.9,14.123850475502964,4.707950158500989,0.0,0.7846583597501647,0.17654813094378707,93.44574872100686
Meghalaya,East Garo Hills,145912.0,26608.0,56.25856680739075,410.0,138587.0,31.0,8.0,1.0,0.0,1.0,39.3,0.3,73.8,80.8,72.4,83.9,67.0,97.4,71.9,50.9,21.24568232907506,5.482756730083886,0.6853445912604857,0.6853445912604857,0.28099128241679916,94.97985086901694
Meghalaya,East Jaintia Hills,122939.0,20756.0,44.13164252190111,473.0,118158.0,36.0,6.0,2.0,0.0,0.0,42.4,0.0,48.4,55.7,74.4,83.6,74.6,85.1,74.1,43.9,29.282815054620585,4.880469175770098,1.6268230585900323,0.0,0.38474365335654265,96.11107947844053
Meghalaya,East Khasi Hills,825922.0,164046.0,69.98602773627533,5642.0,661158.0,72.0,44.0,7.0,0.0,2.0,78.0,29.4,63.4,68.7,49.1,80.9,90.0,96.6,47.1,48.2,8.717530226825295,5.327379583059901,0.847537660941348,0.2421536174118137,0.6831153547187264,80.05090069037996
Meghalaya,North Garo Hills,172005.0,31720.0,63.985930641551114,99.0,166593.0,35.0,9.5,2.0,0.0,1.0,48.8,0.0,61.5,63.2,47.5,84.9,51.5,97.5,60.8,58.4,16.02321395323273,5.040567926230283,0.9575588033327918,0.4066855147204923,0.05755646638179123,96.85357983779541
Meghalaya,Ri Bhoi,258840.0,46872.0,60.214418173388964,590.0,230081.0,34.0,10.0,3.0,0.0,1.0,49.5,4.6,56.9,65.8,74.8,85.3,86.2,92.1,66.8,62.4,13.135527739143873,3.863390511512904,1.1590171534538711,0.3863390511512904,0.2279400401792613,88.88927522794005
Meghalaya,South Garo Hills,142334.0,24527.0,57.654530892126964,319.0,134237.0,21.0,7.0,1.0,0.0,1.0,32.3,0.0,88.3,91.2,86.8,88.4,60.4,98.6,79.5,56.2,14.754029255132295,4.918009751710765,0.7025728216729664,0.7025728216729664,0.22412073011367628,94.311267862914
Meghalaya,South West Garo Hills,174313.0,34199.0,56.61654609811087,2096.0,139949.0,27.0,9.0,1.0,0.0,1.0,77.4,0.0,83.7,88.3,85.4,71.4,58.6,95.5,75.1,62.5,15.489378302249401,5.163126100749801,0.573680677861089,0.573680677861089,1.2024347007968423,80.28603718598154
Meghalaya,South West Khasi Hills,99171.0,17047.0,58.58466688850571,115.0,94745.0,20.0,4.0,2.0,0.0,0.0,27.9,0.0,41.7,49.3,78.8,89.6,85.3,87.9,72.3,58.9,20.16718597170544,4.033437194341087,2.0167185971705437,0.0,0.11596131933730627,95.53700174446159
Meghalaya,West Garo Hills,468349.0,89010.0,55.44711315706877,6614.0,333859.0,67.0,15.0,5.0,0.0,2.0,57.8,13.9,89.6,87.5,77.1,86.3,83.7,94.7,77.9,55.3,14.305571272704755,3.202739837172707,1.0675799457242354,0.42703197828969425,1.4121947522040188,71.28423461990951
Meghalaya,West Jaintia Hills,272185.0,45272.0,48.96375626871429,844.0,257941.0,46.0,15.0,3.0,0.0,1.0,59.5,9.2,42.2,50.7,59.7,75.1,70.6,75.4,65.6,55.9,16.900270036923416,5.510957620735897,1.1021915241471794,0.3673971747157264,0.3100832154600731,94.7667946433492
Meghalaya,West Khasi Hills,283867.0,47786.0,60.72068961872989,53.0,279942.0,47.0,16.0,2.0,0.0,2.0,47.9,5.0,41.7,49.3,62.5,87.8,80.5,85.0,60.1,51.8,16.557049604216058,5.6364424184565305,0.7045553023070663,0.7045553023070663,0.01867071551113726,98.61731021922239
Mizoram,Aizawl,373722.0,77279.0,85.4046590781383,627.0,347462.0,73.0,11.0,3.0,1.0,2.0,99.7,26.6,97.4,97.8,66.4,96.1,98.3,99.7,37.5,31.7,19.533235934732236,2.9433643189322543,0.8027357233451604,0.5351571488967736,0.1677717661791385,92.97338663498536
Mizoram,Champhai,72365.0,14657.0,79.98065363089891,13.0,71096.0,32.0,5.0,0.0,0.0,1.0,96.7,4.3,96.7,97.5,85.3,98.3,98.6,100.0,64.9,25.7,44.22027223105093,6.9094175361017065,0.0,1.3818835072203415,0.017964485593864436,98.24638982933739
Mizoram,Hnahthial,28488.0,5853.0,82.28727885425442,10.0,28148.0,16.0,5.0,0.0,0.0,1.0,88.25,8.25,87.05000000000001,87.15,77.1,95.85,96.65,99.19999999999999,52.65,34.9,56.16399887672002,17.551249648975006,0.0,3.5102499297950014,0.035102499297950014,98.80651502386971
Mizoram,Khawzawl,34104.0,6881.0,81.0989913206662,1.0,33609.0,19.0,4.0,1.0,0.0,1.0,88.25,8.25,87.05000000000001,87.15,77.1,95.85,96.65,99.19999999999999,52.65,34.9,55.71193994839315,11.72882946281961,2.9322073657049024,2.9322073657049024,0.0029322073657049026,98.54855735397608
Mizoram,Kolasib,80972.0,16592.0,78.33572098997185,84.0,70713.0,26.0,5.0,1.0,0.0,1.0,94.1,7.4,91.4,93.2,80.4,96.8,95.3,99.1,61.1,37.7,32.10986513856642,6.174974065108927,1.2349948130217854,1.2349948130217854,0.10373956429382995,87.33018821320951
Mizoram,Lawngtlai,117894.0,22984.0,53.31993146385736,146.0,112354.0,35.0,6.0,1.0,0.0,1.0,57.7,9.1,53.7,59.9,70.2,90.3,82.2,89.0,31.3,48.5,29.687685548034672,5.08931752252023,0.848219587086705,0.848219587086705,0.12384005971465893,95.30086348753966
Mizoram,Lunglei,131301.0,26858.0,73.36653947799331,168.0,123772.0,57.0,8.0,0.0,1.0,1.0,81.4,19.6,82.7,80.2,73.8,95.6,96.0,98.0,46.5,34.9,43.41170288116617,6.0928705798127964,0.0,0.7616088224765996,0.12795028217606874,94.26584717557368
Mizoram,Mamit,86364.0,17731.0,69.69454865453199,51.0,82080.0,40.0,10.0,1.0,0.0,1.0,65.6,1.5,75.0,81.1,85.9,92.7,97.3,97.9,61.7,34.9,46.31559446065491,11.578898615163727,1.1578898615163726,1.1578898615163726,0.059052382937334995,95.03959983326385
Mizoram,Saiha,56574.0,11144.0,74.650899706579,83.0,54642.0,27.0,5.0,1.0,0.0,1.0,82.4,12.5,73.8,80.5,60.3,91.5,95.2,99.7,44.2,44.2,47.72510340439071,8.837982111924205,1.7675964223848413,1.7675964223848413,0.1467105030579418,96.58500371195248
